Metabolon_Metabolite_ID,HARV_21560,HARV_21561,HARV_21562,HARV_21563,HARV_21564,HARV_21565,HARV_21566,HARV_21567,HARV_21568,HARV_21569,HARV_21570,HARV_21571,HARV_21572,HARV_21573,HARV_21574,HARV_21575,HARV_21576,HARV_21577,HARV_21578,HARV_21579,HARV_21580,HARV_21581,HARV_21582,HARV_21583,HARV_21584,HARV_21585,HARV_21586,HARV_21587,HARV_21588,HARV_21589,HARV_21590,HARV_21591,HARV_21592,HARV_21593,HARV_21594,HARV_21595,HARV_21596,HARV_21597,HARV_21598,HARV_21599,HARV_21600,HARV_21601,HARV_21602,HARV_21603,HARV_21604,HARV_21605,HARV_21606,HARV_21607
504,134503,78941,,1890917,3022943,1658506,1327713,3748174,1359949,,,,,90975,,,155318,,1679346,4294222,1686971,1731380,3165615,1886915,108169,,,4668329,1487788,3877871,3807876,1651910,4470725,,,,188685,,114882,130546,,157493,4454869,2930192,3606126,3755771,1616238,3751699
353,,,,385909,110522,237792,302813,115587,306917,,,,,,,,,,91882,495236,96824,100595,48596,141880,,,,318121,175808,161815,119390,218226,244997,,,,,,,,,,81934,227639,206893,96088,108795,
305,,,,461446,144050,256305,333741,128509,324965,,,,,,,,,,108481,368662,102387,109334,46492,133490,,,,436073,181480,283641,221283,199431,244555,,,,,,,,,,94671,239033,148814,60015,108251,
139,,,,757983,290259,452593,594209,273140,569874,,,,,,,,,,219726,932136,223644,198345,123887,255239,,,,1006737,327547,581232,402445,427794,611697,,,,,,,,,,204851,476772,402212,172148,210674,79998
157,,,,194415,70023,115253,144228,73529,162436,,,,,,,,,,56971,262576,53189,40332,32090,54780,,,,275550,85779,121120,102945,90156,147819,,,,,,,,,,47317,134534,92935,28936,40438,
376,,,,409898,150247,230661,323518,99541,462000,,,,,,,,,,157738,558287,93490,120496,69019,164796,,,,386061,189584,185880,148202,151952,191232,,,,,,,,,,96179,262528,185463,58877,127214,29012
86,203873,187413,,201015,364708,139273,219418,420437,214775,,,,163606,203411,109855,90768,202396,,177241,253047,169528,156951,251258,157198,198214,,,340782,221792,392159,382380,200784,424042,83390,,,272972,145324,223221,211241,150365,226039,312351,190218,267274,261416,229870,267212
87,257629,269941,,284163,601287,227793,253535,605718,282910,107799,145485,,185592,235697,128225,183356,243608,121282,222005,527636,231924,151878,384476,264270,284164,,,607763,259460,600423,657215,307110,618707,,,,348590,192329,292269,344242,253120,281333,567525,266864,426884,425413,234836,438869
68,1358604,1122887,,1443211,7965011,1049276,1749731,10686899,1137389,,,,,2604518,,,3683209,401394,709994,4221261,979791,954855,5031839,1081059,1426508,,,8871004,2665763,6925718,10136767,1756121,13540872,,,,4504573,304987,2736995,2578576,495988,3348147,6587829,1101803,5730914,3739213,786810,4693018
4173,,,,144023,1486636,519209,409498,1403370,354282,,,,,372328,,,497483,,649300,988231,317301,1079635,743183,636177,,,,1170352,363486,1219100,1257613,456296,1314656,,,,678573,,412453,437125,,478337,905421,1123421,867337,1342146,651032,723655
2505,767063,620615,,326289,118203,221243,224329,,340143,536710,616143,,565384,,606803,490662,,590478,346741,,267841,355142,,394891,468983,,,,180922,,,204687,,501610,,,,511647,,,531022,,,363138,,,336151,
2184,629068,634348,254298,1088700,1306334,1144331,838557,1083019,1298653,673821,617322,240906,1105463,640050,819584,580748,805805,676683,1116385,859931,954213,946789,751742,897500,385533,266512,268657,1000430,640447,746098,932423,702147,840122,646306,,210686,835360,607830,510741,596249,503586,678974,887090,1224904,955782,717973,701818,641319
2494,1897580,1788501,,1019551,584800,1086236,1022076,538747,1231875,1658493,1567574,,1805699,136362,1694169,1505712,231065,1705498,1088761,456209,1102276,1003187,483832,1091858,1309298,,,452572,817306,397245,470395,799574,406387,1476130,,,197823,1616041,186076,204853,1535409,229317,556958,1175183,472574,448415,1139962,440870
90,,,,276691,99038,261762,285923,81405,247170,,,,,,,,,,276293,122020,369011,268523,140941,396687,,,,122940,308668,88117,107011,368221,135453,,,,,,,,,,138548,401677,130287,82561,422327,97392
2224,613737,606454,224280,801884,440747,1039688,770457,500921,1293854,725025,622365,278147,1182056,,792952,568670,349203,572419,842324,710019,895003,788826,291904,893381,340363,238379,287689,206935,551690,357964,560294,502384,320167,543215,220689,204311,346979,612886,218960,249945,565533,297387,380909,1013307,992230,443680,595847,306587
2221,542892,582185,,513798,840625,416263,500588,559039,656514,424732,435129,,519089,309231,381140,360687,332760,426429,520189,307783,584780,506591,,318218,258900,,,401564,292850,413765,538316,317175,557231,391239,,,406586,441996,,,402376,256534,432040,595866,317818,258796,260615,259899
2503,1541265,1364000,,916049,545782,896948,763873,416815,1355797,1400811,1240441,,1429587,,1216268,1189905,89087,1426854,760225,343976,753244,645021,399109,760995,1066413,,,493908,690432,508933,429727,706879,454196,1288952,,,166528,1121225,,,912953,,369754,773684,386988,262518,827032,298593
4123,,,,,4674670,155997,95919,6765273,104556,,,,,,,,,,,1331352,,,977624,,,,,7354021,,6839069,7984305,117039,8390730,,,,,,,,,50237,2130163,,1303120,1028508,,822063
4098,45155,,,105064,170980,104441,86164,182615,110184,,,,17615,39030,,,37473,,23716,154440,,31187,113504,,47504,,,147998,75699,176885,168462,76789,209771,,,,67067,,42353,38381,,40196,165431,40600,142075,112247,,109855
4124,,,,629727,1420898,498668,531297,1942360,602175,,,,,,,,60712,,416245,1342352,406316,413250,960931,428307,59303,,,1911322,523323,1651601,1791845,578889,1971718,,,,102348,,,78136,,75917,1599380,642479,1283784,1184427,399872,1110488
1593,261930,408439,,842580,761327,869901,646984,732899,949752,151443,111724,,159431,233432,119241,116212,336531,142417,535874,957355,599707,709307,732426,750444,208448,,,1018090,726535,780170,896760,886940,913811,202718,,,284409,64628,320550,220762,214701,191504,902251,875890,739117,383299,666065,425593
